11/05/18 23:49:29.735371	 Name Of Activity: ir a la habitacion
Description Of Activity: 	er nota va a la habiActivity Start

11/05/18 23:49:34.134846	FL6	OFF	
11/05/18 23:49:34.239787	FL6	ON	30
11/05/18 23:49:34.315742	FL7	OFF	
11/05/18 23:49:34.526623	FL6	CH	60
11/05/18 23:49:34.560603	FL10	ON	30
11/05/18 23:49:34.913407	FL5	ON	30
11/05/18 23:49:34.914411	FL9	ON	30
11/05/18 23:49:35.180246	FL5	CH	60
11/05/18 23:49:35.532044	FL10	OFF	
11/05/18 23:49:35.533047	FL6	OFF	
11/05/18 23:49:35.876354	FL8	ON	30
11/05/18 23:49:35.977298	FL4	ON	30
11/05/18 23:49:36.073247	FL9	OFF	
11/05/18 23:49:36.108227	FL5	CH	30
11/05/18 23:49:36.158227	FL9	ON	30
11/05/18 23:49:36.193207	FL9	OFF	
11/05/18 23:49:36.398087	FL5	OFF	
11/05/18 23:49:36.446070	FL4	CH	60
11/05/18 23:49:36.490048	FL8	OFF	
11/05/18 23:49:37.036722	FL4	OFF	

11/05/18 23:49:42.584904	 Name Of Activity: ir a la habitacion
Activity ended

